i,LSOA11CD_props,area_props,area_total,LSOA11CD_majority
75945,"['E01000720', 'E01000723', 'E01000791', 'E01000787', 'E01000792', 'E01000786', 'E01000726', 'E01000725', 'E01000724', 'E01000789', 'E01000788', 'E01000680', 'E01000793', 'E01000727', 'E01000722']","[0.283, 0.104, 0.099, 0.087, 0.079, 0.076, 0.07, 0.052, 0.047, 0.035, 0.023, 0.016, 0.015, 0.008, 0.007]",4000000.0,E01000720
75946,"['E01000728', 'E01000720', 'E01000722', 'E01000719', 'E01000738', 'E01000721', 'E01000724', 'E01000730', 'E01000739', 'E01000729', 'E01000725', 'E01000726']","[0.277, 0.263, 0.092, 0.087, 0.074, 0.068, 0.057, 0.042, 0.024, 0.011, 0.005, 0.0]",4000000.0,E01000728
75947,"['E01000728', 'E01000383', 'E01000385', 'E01000386', 'E01000384', 'E01000735', 'E01000738', 'E01000428', 'E01000729', 'E01000382', 'E01000459', 'E01000720']","[0.323, 0.15, 0.147, 0.136, 0.063, 0.062, 0.055, 0.032, 0.018, 0.011, 0.003, 0.0]",4000000.0,E01000728
75948,"['E01000381', 'E01000382', 'E01000461', 'E01000445', 'E01000383', 'E01000387', 'E01000443', 'E01000458', 'E01000459', 'E01000446', 'E01000448', 'E01000460', 'E01000351', 'E01000384', 'E01000386', 'E01000385', 'E01000457', 'E01000462']","[0.169, 0.134, 0.129, 0.116, 0.109, 0.077, 0.068, 0.063, 0.039, 0.032, 0.019, 0.018, 0.017, 0.007, 0.002, 0.0, 0.0, 0.0]",4000000.0,E01000381
75949,"['E01000390', 'E01000389', 'E01000352', 'E01000348', 'E01000363', 'E01000361', 'E01000391', 'E01000349', 'E01000388', 'E01000346', 'E01000351', 'E01000448', 'E01000360', 'E01000446', 'E01000394', 'E01000366', 'E01000350', 'E01000362', 'E01000449', 'E01000347', 'E01000393', 'E01000443', 'E01000460', 'E01000445']","[0.135, 0.102, 0.075, 0.074, 0.073, 0.071, 0.071, 0.067, 0.064, 0.064, 0.061, 0.041, 0.04, 0.037, 0.007, 0.007, 0.005, 0.002, 0.002, 0.001, 0.001, 0.001, 0.001, 0.0]",4000000.0,E01000390
75950,"['E01000356', 'E01000393', 'E01000455', 'E01000421', 'E01000453', 'E01000451', 'E01000394', 'E01000359', 'E01000354', 'E01000454', 'E01000357', 'E01000450', 'E01000366', 'E01000456', 'E01000452', 'E01000392', 'E01000358', 'E01032567', 'E01000419', 'E01000388', 'E01000436', 'E01000360', 'E01000389', 'E01001574', 'E01000353', 'E01032566', 'E01000420', 'E01000401']","[0.078, 0.069, 0.064, 0.056, 0.052, 0.052, 0.052, 0.051, 0.051, 0.051, 0.05, 0.049, 0.044, 0.042, 0.04, 0.04, 0.031, 0.027, 0.021, 0.019, 0.016, 0.01, 0.009, 0.008, 0.007, 0.006, 0.005, 0.001]",4000000.0,E01000356
75951,"['E01001574', 'E01000417', 'E01000418', 'E01001578', 'E01000420', 'E01001577', 'E01000419', 'E01001572', 'E01000416', 'E01000334', 'E01000464', 'E01000465', 'E01001571', 'E01000466', 'E01000337', 'E01000422', 'E01000421', 'E01000450', 'E01001575', 'E01001576', 'E01000336', 'E01000338', 'E01032567']","[0.188, 0.184, 0.13, 0.062, 0.049, 0.046, 0.046, 0.042, 0.042, 0.041, 0.036, 0.027, 0.021, 0.017, 0.017, 0.016, 0.014, 0.009, 0.005, 0.005, 0.003, 0.001, 0.001]",4000000.0,E01001574
75952,"['E01000466', 'E01000469', 'E01000470', 'E01000468', 'E01001688', 'E01001694', 'E01001575', 'E01000467', 'E01001693', 'E01001690', 'E01001692', 'E01001576', 'E01000422', 'E01001577', 'E01000416', 'E01000465', 'E01033743']","[0.351, 0.107, 0.1, 0.082, 0.064, 0.058, 0.056, 0.049, 0.039, 0.038, 0.02, 0.015, 0.012, 0.004, 0.003, 0.001, 0.0]",3553968.3,E01000466
75953,"['E01000095', 'E01000092', 'E01000094', 'E01000096', 'E01000091', 'E01000053', 'E01000056']","[0.528, 0.258, 0.162, 0.04, 0.01, 0.001, 0.001]",2946582.4,E01000095
75954,"['E01000075', 'E01000096', 'E01000079', 'E01000014', 'E01000056', 'E01000080', 'E01000076', 'E01000058', 'E01000095', 'E01000054', 'E01000074', 'E01000046', 'E01000073', 'E01000055', 'E01000057', 'E01000041', 'E01000059', 'E01000072', 'E01000025', 'E01000077', 'E01000045', 'E01000053', 'E01000081', 'E01000084', 'E01000013', 'E01000024', 'E01000078']","[0.129, 0.074, 0.067, 0.064, 0.062, 0.049, 0.047, 0.046, 0.045, 0.043, 0.041, 0.039, 0.037, 0.037, 0.037, 0.033, 0.031, 0.03, 0.022, 0.019, 0.016, 0.014, 0.008, 0.005, 0.003, 0.002, 0.002]",4000000.0,E01000075
75955,"['E01000099', 'E01000109', 'E01032581', 'E01000102', 'E01000100', 'E01000020', 'E01003719', 'E01000097', 'E01000019', 'E01000083', 'E01000098', 'E01000078', 'E01000021', 'E01000081', 'E01000082', 'E01032580', 'E01000022', 'E01000024', 'E01000065', 'E01000077', 'E01003718', 'E01000101', 'E01000025', 'E01000080', 'E01000112', 'E01003769', 'E01003773', 'E01000063', 'E01000023', 'E01003666', 'E01000111', 'E01003662', 'E01003716', 'E01000017']","[0.078, 0.073, 0.068, 0.064, 0.053, 0.047, 0.047, 0.045, 0.045, 0.045, 0.043, 0.041, 0.039, 0.038, 0.038, 0.032, 0.032, 0.03, 0.026, 0.025, 0.017, 0.015, 0.014, 0.009, 0.009, 0.005, 0.005, 0.004, 0.004, 0.004, 0.002, 0.001, 0.0, 0.0]",4000000.0,E01000099
